# time x y z qx qy qz qw vx vy vz ba_x ba_y ba_z bg_x bg_y bg_z
0.235000000 9.999148385 9.996593831 9.986379965 0.100580198 0.106649147 0.058227088 0.987481235 -0.007247579 -0.028985379 -0.115862534 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.240000000 9.999111762 9.996447363 9.985794501 0.102770993 0.108756951 0.059655963 0.986940330 -0.007401765 -0.029601800 -0.118323069 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.245000000 9.999074368 9.996297813 9.985196735 0.104962386 0.110856944 0.061091552 0.986388087 -0.007555950 -0.030218203 -0.120783313 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.250000000 9.999036202 9.996145181 9.984586669 0.107154281 0.112949070 0.062533775 0.985824525 -0.007710133 -0.030834587 -0.123243259 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.255000000 9.998997266 9.995989467 9.983964303 0.109346586 0.115033272 0.063982550 0.985249666 -0.007864315 -0.031450952 -0.125702901 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.260000000 9.998957559 9.995830672 9.983329640 0.111539205 0.117109495 0.065437797 0.984663530 -0.008018496 -0.032067298 -0.128162233 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.265000000 9.998917081 9.995668794 9.982682681 0.113732046 0.119177684 0.066899433 0.984066140 -0.008172676 -0.032683624 -0.130621248 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.270000000 9.998875833 9.995503836 9.982023428 0.115925013 0.121237785 0.068367377 0.983457519 -0.008326855 -0.033299930 -0.133079942 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.275000000 9.998833813 9.995335795 9.981351882 0.118118015 0.123289744 0.069841546 0.982837694 -0.008481032 -0.033916215 -0.135538306 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.280000000 9.998791022 9.995164673 9.980668046 0.120310956 0.125333510 0.071321857 0.982206688 -0.008635208 -0.034532479 -0.137996337 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.285000000 9.998747461 9.994990470 9.979971920 0.122503744 0.127369031 0.072808227 0.981564529 -0.008789382 -0.035148722 -0.140454027 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.290000000 9.998703128 9.994813186 9.979263506 0.124696285 0.129396257 0.074300572 0.980911245 -0.008943556 -0.035764944 -0.142911370 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.295000000 9.998658025 9.994632821 9.978542807 0.126888487 0.131415138 0.075798808 0.980246864 -0.009097728 -0.036381143 -0.145368361 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.300000000 9.998612151 9.994449375 9.977809823 0.129080254 0.133425624 0.077302851 0.979571417 -0.009251898 -0.036997320 -0.147824993 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.305000000 9.998565506 9.994262848 9.977064557 0.131271496 0.135427668 0.078812615 0.978884933 -0.009406067 -0.037613474 -0.150281260 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.310000000 9.998518090 9.994073240 9.976307011 0.133462119 0.137421222 0.080328017 0.978187446 -0.009560235 -0.038229605 -0.152737157 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.315000000 9.998469904 9.993880552 9.975537186 0.135652030 0.139406241 0.081848970 0.977478989 -0.009714401 -0.038845712 -0.155192676 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.320000000 9.998420946 9.993684783 9.974755085 0.137841137 0.141382678 0.083375388 0.976759594 -0.009868565 -0.039461795 -0.157647813 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.325000000 9.998371218 9.993485934 9.973960709 0.140029347 0.143350489 0.084907187 0.976029297 -0.010022729 -0.040077854 -0.160102561 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.330000000 9.998320719 9.993284005 9.973154060 0.142216569 0.145309630 0.086444279 0.975288135 -0.010176890 -0.040693888 -0.162556913 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.335000000 9.998269449 9.993078995 9.972335140 0.144402711 0.147260058 0.087986579 0.974536143 -0.010331050 -0.041309897 -0.165010865 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.340000000 9.998217409 9.992870906 9.971503952 0.146587681 0.149201731 0.089533998 0.973773361 -0.010485208 -0.041925881 -0.167464410 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
